Track,Message Type,Note,Velocity,Time
1,note_on,68,59,480
1,note_on,63,39,480
1,note_on,63,0,480
1,note_on,68,0,0
1,note_on,70,57,0
1,note_on,63,28,480
1,note_on,68,31,0
1,note_on,68,0,480
1,note_on,63,0,0
1,note_on,70,0,0
1,note_on,72,57,0
1,note_on,72,0,480
1,note_on,73,63,480
1,note_on,63,34,480
1,note_on,67,38,0
1,note_on,67,0,480
1,note_on,63,0,0
1,note_on,73,0,0
1,note_on,72,62,0
1,note_on,67,35,480
1,note_on,63,30,0
1,note_on,63,0,480
1,note_on,67,0,0
1,note_on,72,0,0
1,note_on,70,51,0
1,note_on,70,0,480
1,note_on,72,63,480
1,note_on,68,42,480
1,note_on,63,38,0
1,note_on,63,0,480
1,note_on,68,0,0
1,note_on,72,0,0
1,note_on,73,68,0
1,note_on,63,37,480
1,note_on,68,41,0
1,note_on,68,0,480
1,note_on,63,0,0
1,note_on,73,0,0
1,note_on,75,71,0
1,note_on,75,0,480
1,note_on,77,73,0
1,note_on,77,0,330
1,note_on,68,51,90
1,note_on,74,56,30
1,note_on,79,74,30
1,note_on,79,0,330
1,note_on,74,0,0
1,note_on,68,0,0
1,note_on,68,51,90
1,note_on,74,56,30
1,note_on,80,77,30
1,note_on,80,0,480
1,note_on,74,0,0
1,note_on,68,0,0
1,note_on,75,81,0
1,note_on,72,44,480
1,note_on,68,38,0
1,note_on,63,38,0
1,note_on,63,0,480
1,note_on,68,0,0
1,note_on,72,0,0
1,note_on,72,43,0
1,note_on,68,38,0
1,note_on,63,38,0
1,note_on,63,0,480
1,note_on,75,0,0
1,note_on,72,0,0
1,note_on,68,0,0
1,note_on,78,59,480
1,note_on,78,0,240
1,note_on,77,56,0
1,note_on,77,0,240
1,note_on,75,59,0
1,note_on,75,0,240
1,note_on,78,56,0
1,note_on,78,0,240
1,note_on,77,62,0
1,note_on,77,0,720
1,note_on,73,59,0
1,note_on,73,0,240
1,note_on,70,55,0
1,note_on,70,0,240
1,note_on,65,50,0
1,note_on,65,0,240
1,note_on,76,59,480
1,note_on,76,0,240
1,note_on,75,56,0
1,note_on,75,0,240
1,note_on,73,59,0
1,note_on,73,0,240
1,note_on,76,56,0
1,note_on,76,0,240
1,note_on,75,62,0
1,note_on,75,0,720
1,note_on,72,59,0
1,note_on,72,0,240
1,note_on,68,57,0
1,note_on,68,0,240
1,note_on,63,52,0
1,note_on,63,0,240
1,note_on,60,35,480
1,note_on,63,39,0
1,note_on,68,59,0
1,note_on,63,0,480
1,note_on,60,0,0
1,note_on,60,35,0
1,note_on,63,39,0
1,note_on,63,0,480
1,note_on,60,0,0
1,note_on,68,0,0
1,note_on,67,63,0
1,note_on,60,31,480
1,note_on,65,36,0
1,note_on,65,0,480
1,note_on,60,0,0
1,note_on,67,0,0
1,note_on,60,31,0
1,note_on,65,36,0
1,note_on,68,59,0
1,note_on,68,0,480
1,note_on,65,0,0
1,note_on,60,0,0
1,note_on,70,68,0
1,note_on,62,31,480
1,note_on,68,36,0
1,note_on,70,0,240
1,note_on,71,61,0
1,note_on,71,0,240
1,note_on,68,0,0
1,note_on,62,0,0
1,note_on,62,31,0
1,note_on,68,36,0
1,note_on,70,59,0
1,note_on,70,0,240
1,note_on,71,52,0
1,note_on,71,0,240
1,note_on,68,0,0
1,note_on,62,0,0
1,note_on,67,59,0
1,note_on,61,36,480
1,note_on,63,40,0
1,note_on,63,0,480
1,note_on,61,0,0
1,note_on,61,35,0
1,note_on,63,39,0
1,note_on,63,0,480
1,note_on,61,0,0
1,note_on,67,0,0
1,note_on,68,59,480
1,note_on,63,39,480
1,note_on,63,0,480
1,note_on,68,0,0
1,note_on,70,58,0
1,note_on,63,28,480
1,note_on,68,31,0
1,note_on,68,0,480
1,note_on,63,0,0
1,note_on,70,0,0
1,note_on,72,57,0
1,note_on,72,0,480
1,note_on,73,63,480
1,note_on,63,34,480
1,note_on,67,38,0
1,note_on,67,0,480
1,note_on,63,0,0
1,note_on,73,0,0
1,note_on,72,62,0
1,note_on,67,35,480
1,note_on,63,30,0
1,note_on,63,0,480
1,note_on,67,0,0
1,note_on,72,0,0
1,note_on,70,51,0
1,note_on,70,0,480
1,note_on,72,63,480
1,note_on,68,42,480
1,note_on,63,38,0
1,note_on,63,0,480
1,note_on,68,0,0
1,note_on,72,0,0
1,note_on,73,68,0
1,note_on,63,37,480
1,note_on,68,41,0
1,note_on,68,0,480
1,note_on,63,0,0
1,note_on,73,0,0
1,note_on,75,71,0
1,note_on,75,0,480
1,note_on,77,73,0
1,note_on,77,0,330
1,note_on,68,48,90
1,note_on,74,56,30
1,note_on,79,74,30
1,note_on,79,0,330
1,note_on,74,0,0
1,note_on,68,0,0
1,note_on,68,48,90
1,note_on,74,55,30
1,note_on,80,77,30
1,note_on,80,0,480
1,note_on,74,0,0
1,note_on,68,0,0
1,note_on,75,81,0
1,note_on,63,38,480
1,note_on,68,38,0
1,note_on,72,44,0
1,note_on,72,0,480
1,note_on,68,0,0
1,note_on,63,0,0
1,note_on,63,38,0
1,note_on,68,38,0
1,note_on,72,43,0
1,note_on,72,0,480
1,note_on,75,0,0
1,note_on,63,0,0
1,note_on,68,0,0
1,note_on,78,59,480
1,note_on,78,0,240
1,note_on,77,56,0
