Track,Message Type,Note,Velocity,Time
1,note_on,78,79,1
1,note_on,74,79,0
1,note_on,81,88,0
1,note_on,74,0,239
1,note_on,78,0,0
1,note_on,69,74,0
1,note_on,69,0,240
1,note_on,81,0,0
1,note_on,76,84,0
1,note_on,70,75,0
1,note_on,74,75,0
1,note_on,74,0,240
1,note_on,70,0,0
1,note_on,64,69,0
1,note_on,64,0,240
1,note_on,76,0,0
1,note_on,81,88,0
1,note_on,74,79,0
1,note_on,78,79,0
1,note_on,78,0,240
1,note_on,74,0,0
1,note_on,69,75,0
1,note_on,69,0,240
1,note_on,81,0,0
1,note_on,76,84,0
1,note_on,70,75,0
1,note_on,74,75,0
1,note_on,74,0,240
1,note_on,70,0,0
1,note_on,64,70,0
1,note_on,64,0,240
1,note_on,76,0,0
1,note_on,74,72,0
1,note_on,74,0,60
1,note_on,76,67,60
1,note_on,76,0,60
1,note_on,74,71,60
1,note_on,74,0,60
1,note_on,76,67,60
1,note_on,76,0,60
1,note_on,78,72,60
1,note_on,78,0,120
1,note_on,78,68,120
1,note_on,78,0,120
1,note_on,76,73,120
1,note_on,67,66,0
1,note_on,74,66,0
1,note_on,76,0,240
1,note_on,79,69,0
1,note_on,79,0,240
1,note_on,74,0,0
1,note_on,67,0,0
1,note_on,73,64,0
1,note_on,76,72,0
1,note_on,73,0,240
1,note_on,69,68,0
1,note_on,69,0,240
1,note_on,76,0,0
1,note_on,81,88,0
1,note_on,74,79,0
1,note_on,78,79,0
1,note_on,78,0,240
1,note_on,74,0,0
1,note_on,69,75,0
1,note_on,69,0,240
1,note_on,81,0,0
1,note_on,76,84,0
1,note_on,70,75,0
1,note_on,74,75,0
1,note_on,74,0,240
1,note_on,70,0,0
1,note_on,64,73,0
1,note_on,64,0,240
1,note_on,76,0,0
1,note_on,81,88,0
1,note_on,74,79,0
1,note_on,78,79,0
1,note_on,78,0,240
1,note_on,74,0,0
1,note_on,69,75,0
1,note_on,69,0,240
1,note_on,81,0,0
1,note_on,76,84,0
1,note_on,70,75,0
1,note_on,74,75,0
1,note_on,74,0,240
1,note_on,70,0,0
1,note_on,64,72,0
1,note_on,64,0,240
1,note_on,76,0,0
1,note_on,74,77,0
1,note_on,74,0,60
1,note_on,76,73,60
1,note_on,76,0,60
1,note_on,74,78,60
1,note_on,74,0,60
1,note_on,76,73,60
1,note_on,76,0,60
1,note_on,78,80,60
1,note_on,78,0,120
1,note_on,78,72,120
1,note_on,78,0,120
1,note_on,74,80,120
1,note_on,76,80,0
1,note_on,76,0,60
1,note_on,74,0,0
1,note_on,78,81,60
1,note_on,78,0,60
1,note_on,79,83,60
1,note_on,79,0,60
1,note_on,81,85,60
1,note_on,81,0,60
1,note_on,82,86,60
1,note_on,82,0,240
1,note_on,61,42,360
1,note_on,63,42,0
1,note_on,63,0,120
1,note_on,61,0,0
1,note_on,61,42,120
1,note_on,63,42,0
1,note_on,63,0,120
1,note_on,61,0,0
1,note_on,60,47,0
1,note_on,72,42,240
1,note_on,63,42,0
1,note_on,63,0,240
1,note_on,72,0,0
1,note_on,60,0,0
1,note_on,63,46,120
1,note_on,65,46,0
1,note_on,65,0,120
1,note_on,63,0,0
1,note_on,63,46,120
1,note_on,65,46,0
1,note_on,65,0,120
1,note_on,63,0,0
1,note_on,62,52,0
1,note_on,74,47,240
1,note_on,65,41,0
1,note_on,65,0,240
1,note_on,74,0,0
1,note_on,62,0,0
1,note_on,62,49,0
1,note_on,67,38,240
1,note_on,74,41,0
1,note_on,65,38,0
1,note_on,65,0,240
1,note_on,62,0,0
1,note_on,67,0,0
1,note_on,74,0,0
1,note_on,63,50,0
1,note_on,75,43,240
1,note_on,67,38,0
1,note_on,67,0,240
1,note_on,75,0,0
1,note_on,63,0,0
1,note_on,65,54,0
1,note_on,71,38,240
1,note_on,79,43,0
1,note_on,79,0,240
1,note_on,71,0,0
1,note_on,65,0,0
1,note_on,63,53,0
1,note_on,75,45,240
1,note_on,67,40,0
1,note_on,67,0,240
1,note_on,75,0,0
1,note_on,63,0,0
1,note_on,65,47,120
1,note_on,67,47,0
1,note_on,67,0,120
1,note_on,65,0,0
1,note_on,65,48,120
1,note_on,67,48,0
1,note_on,67,0,120
1,note_on,65,0,0
1,note_on,64,53,0
1,note_on,76,48,240
1,note_on,67,43,0
1,note_on,67,0,240
1,note_on,76,0,0
1,note_on,64,0,0
1,note_on,67,53,120
1,note_on,69,53,0
1,note_on,69,0,120
1,note_on,67,0,0
1,note_on,67,53,120
1,note_on,69,53,0
1,note_on,69,0,120
1,note_on,67,0,0
1,note_on,65,58,0
1,note_on,77,53,240
1,note_on,69,47,0
1,note_on,69,0,240
1,note_on,77,0,0
1,note_on,65,0,0
1,note_on,64,58,0
1,note_on,67,44,240
1,note_on,76,49,0
1,note_on,69,44,0
1,note_on,69,0,240
1,note_on,64,0,0
1,note_on,67,0,0
1,note_on,76,0,0
1,note_on,65,59,0
1,note_on,77,52,240
1,note_on,69,46,0
1,note_on,69,0,240
1,note_on,77,0,0
1,note_on,65,0,0
1,note_on,67,65,0
1,note_on,73,46,240
1,note_on,81,53,0
1,note_on,81,0,240
1,note_on,73,0,0
1,note_on,67,0,0
1,note_on,65,62,0
1,note_on,77,55,240
1,note_on,69,48,0
1,note_on,69,0,240
1,note_on,77,0,0
1,note_on,65,0,0
1,note_on,64,66,0
1,note_on,69,50,240
1,note_on,76,57,0
1,note_on,67,50,0
1,note_on,67,0,240
1,note_on,64,0,0
1,note_on,69,0,0
1,note_on,76,0,0
1,note_on,65,66,0
1,note_on,77,57,240
1,note_on,69,50,0
1,note_on,69,0,240
1,note_on,77,0,0
1,note_on,65,0,0
1,note_on,69,70,0
1,note_on,78,50,240
1,note_on,83,57,0
1,note_on,83,0,240
1,note_on,78,0,0
1,note_on,69,0,0
1,note_on,67,67,0
1,note_on,79,59,240
1,note_on,71,53,0
1,note_on,71,0,240
1,note_on,79,0,0
1,note_on,67,0,0
1,note_on,66,71,0
1,note_on,71,57,240
1,note_on,78,64,0
1,note_on,69,57,0
1,note_on,69,0,240
1,note_on,66,0,0
1,note_on,71,0,0
1,note_on,78,0,0
1,note_on,67,74,0
1,note_on,79,64,240
1,note_on,71,58,0
1,note_on,71,0,240
1,note_on,79,0,0
1,note_on,67,0,0
1,note_on,71,76,0
1,note_on,80,58,240
1,note_on,85,65,0
1,note_on,85,0,240
1,note_on,80,0,0
1,note_on,71,0,0
1,note_on,69,75,0
1,note_on,81,67,240
1,note_on,73,60,0
1,note_on,73,0,240
1,note_on,81,0,0
1,note_on,69,0,0
1,note_on,72,82,0
1,note_on,81,60,240
1,note_on,86,69,0
1,note_on,86,0,240
1,note_on,81,0,0
1,note_on,72,0,0
1,note_on,71,78,0
1,note_on,83,72,240
1,note_on,74,65,0
1,note_on,74,0,240
1,note_on,83,0,0
1,note_on,71,0,0
1,note_on,72,83,0
1,note_on,81,61,240
1,note_on,86,70,0
1,note_on,86,0,240
1,note_on,81,0,0
1,note_on,72,0,0
1,note_on,71,79,0
1,note_on,83,70,240
1,note_on,74,61,0
1,note_on,74,0,240
1,note_on,83,0,0
1,note_on,71,0,0
1,note_on,88,86,0
1,note_on,88,0,60
1,note_on,86,74,60
1,note_on,86,0,60
1,note_on,82,80,60
1,note_on,82,0,60
1,note_on,81,72,60
1,note_on,81,0,60
1,note_on,79,77,60
1,note_on,79,0,120
1,note_on,64,74,360
1,note_on,64,0,60
1,note_on,62,63,60
1,note_on,62,0,60
1,note_on,58,70,60
1,note_on,58,0,60
1,note_on,57,64,60
1,note_on,57,0,60
1,note_on,55,75,60
1,note_on,55,0,120
1,note_on,62,72,840
1,note_on,64,72,0
1,note_on,64,0,720
1,note_on,62,0,0
1,note_on,61,80,0
1,note_on,64,80,0
1,note_on,69,80,0
1,note_on,69,0,180
1,note_on,64,0,0
1,note_on,61,0,0
1,note_on,62,86,60
1,note_on,69,86,0
1,note_on,74,86,0
1,note_on,74,0,240
1,note_on,69,0,0
1,note_on,62,0,0
1,note_on,78,78,240
1,note_on,78,0,60
1,note_on,76,71,60
1,note_on,76,0,60
1,note_on,74,73,60
1,note_on,74,0,60
1,note_on,73,68,60
1,note_on,73,0,60
1,note_on,71,75,60
1,note_on,71,0,240
1,note_on,73,66,0
1,note_on,73,0,240
1,note_on,61,77,0
1,note_on,70,69,240
1,note_on,66,69,0
1,note_on,66,0,240
1,note_on,70,0,0
1,note_on,61,0,0
1,note_on,62,77,0
1,note_on,71,69,240
1,note_on,66,69,0
1,note_on,66,0,240
1,note_on,71,0,0
1,note_on,62,0,0
1,note_on,61,71,0
1,note_on,73,52,120
1,note_on,73,0,120
1,note_on,67,59,0
1,note_on,67,0,120
1,note_on,71,55,0
1,note_on,71,0,120
1,note_on,61,0,0
1,note_on,62,66,0
1,note_on,74,59,120
1,note_on,74,0,120
1,note_on,66,62,0
1,note_on,66,0,120
1,note_on,71,59,0
1,note_on,71,0,120
1,note_on,62,0,0
1,note_on,67,73,0
1,note_on,79,60,120
1,note_on,79,0,120
1,note_on,71,66,0
1,note_on,71,0,120
1,note_on,76,59,0
1,note_on,76,0,120
1,note_on,67,0,0
1,note_on,66,70,0
1,note_on,78,53,120
1,note_on,78,0,120
1,note_on,71,58,0
1,note_on,71,0,120
1,note_on,74,52,0
1,note_on,74,0,120
1,note_on,66,0,0
1,note_on,78,73,0
1,note_on,78,0,60
1,note_on,76,67,60
1,note_on,76,0,60
1,note_on,74,70,60
1,note_on,74,0,60
1,note_on,73,63,60
1,note_on,73,0,60
1,note_on,71,75,60
1,note_on,71,0,240
1,note_on,73,66,0
1,note_on,73,0,240
1,note_on,61,77,0
1,note_on,70,69,240
1,note_on,66,69,0
1,note_on,66,0,240
1,note_on,70,0,0
1,note_on,61,0,0
1,note_on,62,77,0
1,note_on,71,69,240
1,note_on,66,69,0
1,note_on,66,0,240
1,note_on,71,0,0
1,note_on,62,0,0
1,note_on,61,71,0
1,note_on,73,52,120
1,note_on,73,0,120
1,note_on,67,59,0
1,note_on,67,0,120
1,note_on,71,55,0
1,note_on,71,0,120
1,note_on,61,0,0
1,note_on,62,66,0
1,note_on,74,59,120
1,note_on,74,0,120
1,note_on,66,62,0
1,note_on,66,0,120
1,note_on,71,59,0
1,note_on,71,0,120
1,note_on,62,0,0
1,note_on,67,73,0
1,note_on,79,60,120
1,note_on,79,0,120
1,note_on,71,66,0
1,note_on,71,0,120
1,note_on,76,59,0
1,note_on,76,0,120
1,note_on,67,0,0
1,note_on,66,70,0
1,note_on,78,53,120
1,note_on,78,0,120
1,note_on,71,58,0
1,note_on,71,0,120
1,note_on,74,52,0
1,note_on,74,0,120
1,note_on,66,0,0
1,note_on,59,48,240
1,note_on,62,48,0
1,note_on,62,0,480
1,note_on,59,0,0
1,note_on,59,52,0
1,note_on,62,52,0
1,note_on,62,0,480
1,note_on,59,0,0
1,note_on,59,51,0
1,note_on,62,51,0
1,note_on,62,0,480
1,note_on,59,0,0
1,note_on,59,44,0
1,note_on,62,44,0
1,note_on,62,0,60
1,note_on,59,0,0
1,note_on,71,64,180
1,note_on,71,0,60
1,note_on,70,58,60
1,note_on,70,0,60
1,note_on,69,60,60
1,note_on,69,0,60
1,note_on,68,55,60
1,note_on,68,0,60
1,note_on,67,62,60
1,note_on,67,0,60
1,note_on,68,63,180
1,note_on,68,0,240
1,note_on,73,72,0
1,note_on,73,0,240
1,note_on,71,60,0
1,note_on,71,0,240
1,note_on,63,62,0
1,note_on,63,0,240
1,note_on,64,56,0
1,note_on,64,0,60
1,note_on,61,48,420
1,note_on,64,48,0
1,note_on,64,0,480
1,note_on,61,0,0
1,note_on,61,52,0
1,note_on,64,52,0
1,note_on,64,0,480
1,note_on,61,0,0
1,note_on,61,51,0
1,note_on,64,51,0
1,note_on,64,0,480
1,note_on,61,0,0
1,note_on,61,44,0
1,note_on,64,44,0
1,note_on,64,0,120
1,note_on,61,0,0
1,note_on,73,64,120
1,note_on,73,0,60
1,note_on,72,58,60
1,note_on,72,0,60
1,note_on,71,60,60
1,note_on,71,0,60
1,note_on,70,55,60
1,note_on,70,0,60
1,note_on,69,62,60
1,note_on,69,0,60
1,note_on,70,63,180
1,note_on,70,0,240
1,note_on,74,72,0
1,note_on,74,0,240
1,note_on,73,60,0
1,note_on,73,0,240
1,note_on,65,62,0
1,note_on,65,0,240
1,note_on,66,56,0
