Track,Message Type,Note,Velocity,Time
1,note_on,66,55,1
1,note_on,66,0,239
1,note_on,68,52,0
1,note_on,69,48,120
1,note_on,68,0,20
1,note_on,69,0,100
1,note_on,68,55,0
1,note_on,64,36,0
1,note_on,59,30,0
1,note_on,68,0,240
1,note_on,71,45,0
1,note_on,71,0,240
1,note_on,59,0,0
1,note_on,64,0,0
1,note_on,64,55,0
1,note_on,69,52,240
1,note_on,69,0,240
1,note_on,68,52,0
1,note_on,71,62,0
1,note_on,71,0,220
1,note_on,68,0,0
1,note_on,69,56,20
1,note_on,73,66,0
1,note_on,73,0,220
1,note_on,69,0,0
1,note_on,64,0,20
1,note_on,64,46,0
1,note_on,71,49,0
1,note_on,76,59,0
1,note_on,76,0,480
1,note_on,71,0,0
1,note_on,73,57,0
1,note_on,69,49,0
1,note_on,69,0,480
1,note_on,73,0,0
1,note_on,64,0,0
1,note_on,73,69,0
1,note_on,73,0,240
1,note_on,74,68,0
1,note_on,76,66,120
1,note_on,74,0,20
1,note_on,76,0,100
1,note_on,78,66,0
1,note_on,73,55,0
1,note_on,66,46,0
1,note_on,78,0,240
1,note_on,73,59,0
1,note_on,73,0,240
1,note_on,66,0,0
1,note_on,73,0,0
1,note_on,71,42,0
1,note_on,66,35,0
1,note_on,74,57,0
1,note_on,74,0,480
1,note_on,66,0,0
1,note_on,71,0,0
1,note_on,66,58,0
1,note_on,66,0,240
1,note_on,68,55,0
1,note_on,69,51,120
1,note_on,68,0,20
1,note_on,69,0,100
1,note_on,63,46,0
1,note_on,73,50,0
1,note_on,73,0,240
1,note_on,70,45,0
1,note_on,63,0,240
1,note_on,62,40,0
1,note_on,70,0,240
1,note_on,71,42,0
1,note_on,71,0,240
1,note_on,62,0,0
1,note_on,66,55,0
1,note_on,66,0,240
1,note_on,68,54,0
1,note_on,69,50,120
1,note_on,68,0,20
1,note_on,69,0,100
1,note_on,68,55,0
1,note_on,64,37,0
1,note_on,59,37,0
1,note_on,68,0,240
1,note_on,71,45,0
1,note_on,71,0,240
1,note_on,59,0,0
1,note_on,64,0,0
1,note_on,64,55,0
1,note_on,69,55,240
1,note_on,69,0,240
1,note_on,68,52,0
1,note_on,71,62,0
1,note_on,71,0,220
1,note_on,68,0,0
1,note_on,69,57,20
1,note_on,73,67,0
1,note_on,73,0,220
1,note_on,69,0,0
1,note_on,64,0,20
1,note_on,64,45,0
1,note_on,71,49,0
1,note_on,76,61,0
1,note_on,76,0,480
