Track,Message Type,Note,Velocity,Time
1,note_on,63,72,0
1,note_on,67,72,0
1,note_on,75,88,0
1,note_on,75,0,720
1,note_on,67,0,0
1,note_on,67,73,0
1,note_on,67,0,240
1,note_on,63,0,0
1,note_on,70,84,0
1,note_on,67,70,0
1,note_on,63,70,0
1,note_on,63,0,480
1,note_on,67,0,0
1,note_on,70,0,0
1,note_on,72,78,0
1,note_on,67,64,0
1,note_on,63,64,0
1,note_on,67,0,240
1,note_on,72,0,0
1,note_on,67,73,0
1,note_on,67,0,240
1,note_on,63,0,0
1,note_on,70,80,0
1,note_on,63,67,0
1,note_on,67,67,0
1,note_on,67,0,960
1,note_on,63,0,0
1,note_on,70,0,0
1,note_on,63,62,0
1,note_on,67,66,0
1,note_on,70,81,0
1,note_on,70,0,240
1,note_on,72,70,0
1,note_on,72,0,240
1,note_on,67,0,0
1,note_on,63,0,0
1,note_on,63,68,0
1,note_on,67,81,0
1,note_on,67,0,240
1,note_on,72,68,0
1,note_on,72,0,240
1,note_on,63,0,0
1,note_on,70,80,0
1,note_on,67,67,0
1,note_on,63,67,0
1,note_on,63,0,960
1,note_on,67,0,0
1,note_on,70,0,0
1,note_on,63,68,0
1,note_on,67,68,0
1,note_on,70,81,0
1,note_on,70,0,960
1,note_on,67,0,0
1,note_on,63,0,0
1,note_on,77,84,0
1,note_on,65,70,0
1,note_on,70,70,0
1,note_on,65,0,720
1,note_on,77,0,0
1,note_on,79,77,0
1,note_on,67,64,0
1,note_on,67,0,240
1,note_on,79,0,0
1,note_on,65,70,0
1,note_on,77,84,0
1,note_on,77,0,480
1,note_on,65,0,0
1,note_on,70,0,0
1,note_on,68,68,0
1,note_on,60,68,0
1,note_on,72,81,0
1,note_on,72,0,240
1,note_on,60,0,0
1,note_on,62,66,0
1,note_on,74,78,0
1,note_on,74,0,240
1,note_on,62,0,0
1,note_on,68,0,0
1,note_on,75,84,0
1,note_on,63,70,0
1,note_on,67,70,0
1,note_on,67,0,960
1,note_on,63,0,0
1,note_on,75,0,0
1,note_on,63,67,0
1,note_on,67,67,0
1,note_on,75,80,0
1,note_on,75,0,240
1,note_on,63,0,0
1,note_on,62,58,0
1,note_on,74,69,0
1,note_on,74,0,240
1,note_on,62,0,0
1,note_on,67,0,0
1,note_on,72,75,0
1,note_on,60,63,0
1,note_on,68,63,0
1,note_on,60,0,240
1,note_on,72,0,0
1,note_on,74,64,0
1,note_on,62,53,0
1,note_on,62,0,240
1,note_on,74,0,0
1,note_on,68,0,0
1,note_on,67,65,0
1,note_on,63,65,0
1,note_on,58,65,0
1,note_on,70,77,0
1,note_on,58,0,960
1,note_on,58,72,0
1,note_on,67,0,480
1,note_on,70,0,0
1,note_on,63,0,0
1,note_on,70,71,0
1,note_on,68,59,0
1,note_on,65,59,0
1,note_on,65,0,480
1,note_on,58,0,0
1,note_on,70,0,0
1,note_on,68,0,0
1,note_on,67,62,0
1,note_on,70,73,0
1,note_on,58,60,0
1,note_on,63,60,0
1,note_on,58,0,960
1,note_on,58,72,0
1,note_on,67,0,480
1,note_on,63,0,0
1,note_on,70,0,0
1,note_on,65,59,0
1,note_on,68,59,0
1,note_on,70,71,0
1,note_on,70,0,480
1,note_on,58,0,0
1,note_on,65,0,0
1,note_on,68,0,0
1,note_on,63,72,0
1,note_on,67,73,0
1,note_on,75,88,0
1,note_on,75,0,720
1,note_on,67,0,0
1,note_on,67,73,0
1,note_on,67,0,240
1,note_on,63,0,0
1,note_on,70,84,0
1,note_on,67,70,0
1,note_on,63,70,0
1,note_on,63,0,480
1,note_on,67,0,0
1,note_on,70,0,0
1,note_on,72,78,0
1,note_on,67,64,0
1,note_on,63,64,0
1,note_on,67,0,240
1,note_on,72,0,0
1,note_on,67,73,0
1,note_on,67,0,240
1,note_on,63,0,0
1,note_on,70,80,0
1,note_on,67,67,0
1,note_on,63,67,0
1,note_on,63,0,960
1,note_on,67,0,0
1,note_on,70,0,0
1,note_on,67,66,0
1,note_on,63,62,0
1,note_on,70,81,0
1,note_on,70,0,240
1,note_on,72,70,0
1,note_on,72,0,240
1,note_on,63,0,0
1,note_on,67,0,0
1,note_on,63,68,0
1,note_on,67,81,0
1,note_on,67,0,240
1,note_on,72,68,0
1,note_on,72,0,240
1,note_on,63,0,0
1,note_on,63,67,0
1,note_on,70,80,0
1,note_on,67,67,0
1,note_on,67,0,960
1,note_on,70,0,0
1,note_on,63,0,0
1,note_on,70,81,0
1,note_on,67,68,0
1,note_on,63,68,0
1,note_on,63,0,960
1,note_on,67,0,0
1,note_on,70,0,0
1,note_on,77,84,0
1,note_on,65,70,0
1,note_on,70,70,0
1,note_on,65,0,720
1,note_on,77,0,0
1,note_on,67,64,0
1,note_on,79,77,0
1,note_on,79,0,240
1,note_on,67,0,0
1,note_on,65,70,0
1,note_on,77,84,0
1,note_on,77,0,480
1,note_on,65,0,0
1,note_on,70,0,0
1,note_on,72,81,0
1,note_on,60,68,0
1,note_on,68,68,0
1,note_on,60,0,240
1,note_on,72,0,0
1,note_on,62,66,0
1,note_on,74,78,0
1,note_on,74,0,240
1,note_on,62,0,0
1,note_on,68,0,0
1,note_on,67,70,0
1,note_on,63,70,0
1,note_on,75,84,0
1,note_on,75,0,960
1,note_on,63,0,0
1,note_on,67,0,0
1,note_on,63,67,0
1,note_on,67,67,0
1,note_on,75,80,0
1,note_on,75,0,240
1,note_on,63,0,0
1,note_on,62,58,0
1,note_on,74,69,0
1,note_on,74,0,240
1,note_on,62,0,0
1,note_on,67,0,0
1,note_on,72,75,0
1,note_on,60,63,0
1,note_on,68,63,0
1,note_on,60,0,240
1,note_on,72,0,0
1,note_on,74,64,0
1,note_on,62,53,0
1,note_on,62,0,240
1,note_on,74,0,0
1,note_on,68,0,0
1,note_on,70,73,0
1,note_on,67,62,0
1,note_on,63,62,0
