Track,Message Type,Note,Velocity,Time
1,note_on,62,53,3120
1,note_on,62,0,240
1,note_on,64,54,0
1,note_on,64,0,240
1,note_on,66,56,0
1,note_on,66,0,240
1,note_on,67,57,0
1,note_on,67,0,240
1,note_on,69,59,0
1,note_on,69,0,240
1,note_on,70,61,0
1,note_on,70,0,240
1,note_on,72,63,0
1,note_on,72,0,240
1,note_on,74,65,0
1,note_on,74,0,240
1,note_on,79,68,0
1,note_on,79,0,240
1,note_on,78,66,0
1,note_on,78,0,240
1,note_on,79,58,0
1,note_on,79,0,240
1,note_on,74,53,0
1,note_on,74,0,960
1,note_on,74,56,240
1,note_on,74,0,240
1,note_on,63,31,0
1,note_on,69,59,0
1,note_on,67,31,0
1,note_on,69,0,240
1,note_on,72,51,0
1,note_on,72,0,240
1,note_on,67,0,0
1,note_on,63,0,0
1,note_on,62,45,0
1,note_on,67,45,0
1,note_on,70,53,0
1,note_on,70,0,240
1,note_on,67,0,0
1,note_on,62,0,0
1,note_on,70,53,960
1,note_on,70,0,240
1,note_on,60,46,0
1,note_on,66,57,0
1,note_on,66,0,240
1,note_on,69,49,0
1,note_on,69,0,240
1,note_on,60,0,0
1,note_on,58,47,0
1,note_on,67,53,0
1,note_on,67,0,960
1,note_on,58,0,0
1,note_on,62,52,240
1,note_on,62,0,240
1,note_on,64,54,0
1,note_on,60,48,0
1,note_on,64,0,240
1,note_on,66,55,0
1,note_on,66,0,240
1,note_on,60,0,0
1,note_on,67,57,0
1,note_on,58,51,0
1,note_on,58,0,240
1,note_on,67,0,0
1,note_on,69,59,0
1,note_on,69,0,240
1,note_on,70,61,0
1,note_on,70,0,240
1,note_on,72,63,0
1,note_on,72,0,240
1,note_on,74,68,0
1,note_on,74,0,240
1,note_on,79,63,0
1,note_on,79,0,240
1,note_on,75,40,0
1,note_on,77,61,0
1,note_on,72,36,0
1,note_on,65,33,0
1,note_on,77,0,240
1,note_on,79,59,0
1,note_on,79,0,240
1,note_on,65,0,0
1,note_on,72,0,0
1,note_on,75,0,0
1,note_on,70,46,0
1,note_on,74,55,0
1,note_on,65,46,0
1,note_on,65,0,958
1,note_on,74,0,2
1,note_on,70,0,0
1,note_on,77,60,240
1,note_on,77,0,240
1,note_on,70,50,0
1,note_on,63,50,0
1,note_on,74,50,0
1,note_on,75,63,0
1,note_on,75,0,240
1,note_on,77,58,0
1,note_on,77,0,240
1,note_on,74,0,0
1,note_on,63,0,0
