Track,Message Type,Note,Velocity,Time
1,note_on,67,56,2160
1,note_on,67,0,60
1,note_on,67,52,60
1,note_on,67,0,40
1,note_on,69,49,0
1,note_on,69,0,40
1,note_on,67,48,0
1,note_on,67,0,40
1,note_on,66,57,0
1,note_on,66,0,360
1,note_on,69,44,0
1,note_on,69,0,120
1,note_on,67,52,0
1,note_on,67,0,120
1,note_on,70,57,0
1,note_on,70,0,120
1,note_on,74,64,0
1,note_on,74,0,120
1,note_on,78,69,0
1,note_on,78,0,120
1,note_on,79,68,0
1,note_on,79,0,360
1,note_on,78,60,0
1,note_on,78,0,120
1,note_on,74,61,0
1,note_on,74,0,240
1,note_on,55,37,0
1,note_on,58,37,0
1,note_on,62,41,0
1,note_on,62,0,240
1,note_on,58,0,0
1,note_on,55,0,0
1,note_on,62,42,240
1,note_on,60,42,0
1,note_on,57,38,0
1,note_on,57,0,240
1,note_on,60,0,0
1,note_on,62,0,0
1,note_on,62,49,240
1,note_on,58,42,0
1,note_on,58,0,240
1,note_on,62,0,0
1,note_on,62,42,240
1,note_on,57,38,0
1,note_on,60,38,0
1,note_on,60,0,240
1,note_on,57,0,0
1,note_on,62,0,0
1,note_on,67,56,240
1,note_on,67,0,60
1,note_on,67,52,60
1,note_on,67,0,40
1,note_on,69,48,0
1,note_on,69,0,40
1,note_on,67,48,0
1,note_on,67,0,40
1,note_on,66,61,0
1,note_on,66,0,360
1,note_on,69,53,0
1,note_on,69,0,120
1,note_on,67,58,0
1,note_on,67,0,120
1,note_on,70,62,0
1,note_on,70,0,120
1,note_on,74,66,0
1,note_on,74,0,120
1,note_on,78,69,0
1,note_on,78,0,120
1,note_on,79,73,0
1,note_on,79,0,360
1,note_on,77,67,0
1,note_on,77,0,120
1,note_on,77,67,0
1,note_on,77,0,240
1,note_on,67,44,0
1,note_on,75,58,0
1,note_on,72,52,0
1,note_on,72,0,240
1,note_on,75,0,0
1,note_on,67,0,0
1,note_on,74,62,0
1,note_on,74,0,240
1,note_on,72,46,0
1,note_on,67,46,0
1,note_on,67,0,240
1,note_on,72,0,0
1,note_on,72,68,0
1,note_on,72,0,90
1,note_on,66,57,30
1,note_on,66,0,90
1,note_on,67,62,30
1,note_on,67,0,90
1,note_on,69,58,30
1,note_on,69,0,90
1,note_on,60,46,30
1,note_on,70,58,0
1,note_on,66,46,6
1,note_on,70,0,354
1,note_on,69,46,0
1,note_on,69,0,120
1,note_on,60,0,0
1,note_on,67,42,0
1,note_on,62,37,0
1,note_on,58,37,0
1,note_on,66,0,6
1,note_on,67,0,234
1,note_on,62,0,0
1,note_on,58,0,0
1,note_on,74,64,0
1,note_on,74,0,190
1,note_on,74,63,0
1,note_on,74,0,25
1,note_on,75,63,0
1,note_on,75,0,25
1,note_on,74,69,0
1,note_on,74,0,360
1,note_on,69,55,0
1,note_on,69,0,120
1,note_on,70,56,0
1,note_on,70,0,60
1,note_on,73,58,60
1,note_on,73,0,60
1,note_on,74,62,60
1,note_on,74,0,60
1,note_on,75,66,60
1,note_on,75,0,60
1,note_on,77,67,60
1,note_on,77,0,60
1,note_on,78,68,60
1,note_on,78,0,60
1,note_on,82,70,60
1,note_on,82,0,60
1,note_on,81,68,60
1,note_on,81,0,60
1,note_on,81,64,40
1,note_on,81,0,20
1,note_on,84,77,0
1,note_on,84,0,360
1,note_on,82,67,0
1,note_on,82,0,90
1,note_on,82,68,10
1,note_on,82,0,20
1,note_on,86,75,0
1,note_on,86,0,60
1,note_on,81,70,60
1,note_on,81,0,60
1,note_on,82,67,40
1,note_on,82,0,20
1,note_on,86,75,0
1,note_on,86,0,60
1,note_on,81,69,60
1,note_on,81,0,60
1,note_on,81,68,40
1,note_on,81,0,20
1,note_on,86,75,0
1,note_on,86,0,120
1,note_on,79,68,0
1,note_on,79,0,240
1,note_on,82,70,0
1,note_on,82,0,240
1,note_on,78,64,0
1,note_on,78,0,240
1,note_on,81,68,0
1,note_on,81,0,240
1,note_on,74,64,0
1,note_on,74,0,240
1,note_on,79,67,0
1,note_on,79,0,70
1,note_on,74,55,0
1,note_on,74,0,25
1,note_on,75,58,0
1,note_on,75,0,25
1,note_on,74,67,0
1,note_on,74,0,360
1,note_on,69,55,0
1,note_on,69,0,120
1,note_on,70,56,0
1,note_on,70,0,60
1,note_on,73,58,60
1,note_on,73,0,60
1,note_on,74,62,60
1,note_on,74,0,60
1,note_on,75,64,60
1,note_on,75,0,60
1,note_on,77,67,60
