Track,Message Type,Note,Velocity,Time
1,note_on,62,40,2100
1,note_on,66,45,30
1,note_on,74,50,30
1,note_on,74,0,480
1,note_on,71,51,0
1,note_on,62,37,180
1,note_on,67,39,30
1,note_on,71,0,30
1,note_on,62,0,0
1,note_on,66,0,0
1,note_on,71,55,0
1,note_on,71,0,600
1,note_on,62,0,0
1,note_on,67,0,0
1,note_on,62,40,60
1,note_on,69,42,30
1,note_on,74,53,30
1,note_on,74,0,480
1,note_on,71,53,0
1,note_on,62,36,180
1,note_on,67,39,30
1,note_on,71,0,30
1,note_on,62,0,0
1,note_on,69,0,0
1,note_on,71,52,0
1,note_on,71,0,720
1,note_on,62,0,0
1,note_on,67,0,0
1,note_on,66,52,0
1,note_on,76,63,0
1,note_on,76,0,480
1,note_on,74,60,0
1,note_on,74,0,240
1,note_on,66,0,0
1,note_on,67,52,0
1,note_on,74,59,0
1,note_on,74,0,720
1,note_on,67,0,0
1,note_on,70,52,0
1,note_on,79,66,0
1,note_on,79,0,240
1,note_on,78,58,0
1,note_on,78,0,240
1,note_on,76,56,0
1,note_on,76,0,240
1,note_on,70,0,0
1,note_on,69,48,0
1,note_on,69,0,720
1,note_on,74,60,0
1,note_on,66,48,0
1,note_on,74,0,240
1,note_on,69,56,0
1,note_on,69,0,240
1,note_on,72,58,0
1,note_on,72,0,240
1,note_on,66,0,0
1,note_on,72,57,0
1,note_on,66,50,0
1,note_on,66,0,480
1,note_on,72,0,0
1,note_on,67,49,0
1,note_on,71,55,0
1,note_on,71,0,240
1,note_on,67,0,0
1,note_on,64,52,0
1,note_on,69,52,0
1,note_on,64,0,240
1,note_on,57,51,0
1,note_on,57,0,240
1,note_on,64,53,0
1,note_on,64,0,240
1,note_on,69,0,0
1,note_on,69,55,0
1,note_on,64,55,0
1,note_on,64,0,480
1,note_on,62,53,0
1,note_on,62,0,120
1,note_on,62,40,60
1,note_on,66,45,30
1,note_on,69,0,30
1,note_on,74,55,0
1,note_on,74,0,480
1,note_on,71,51,0
1,note_on,62,37,180
1,note_on,67,39,30
1,note_on,71,0,30
1,note_on,62,0,0
1,note_on,66,0,0
1,note_on,71,52,0
1,note_on,71,0,600
1,note_on,62,0,0
1,note_on,67,0,0
1,note_on,62,40,60
1,note_on,69,42,30
1,note_on,74,53,30
1,note_on,74,0,480
1,note_on,71,53,0
1,note_on,62,36,180
1,note_on,67,39,30
1,note_on,71,0,30
1,note_on,62,0,0
1,note_on,69,0,0
1,note_on,71,50,0
1,note_on,71,0,720
1,note_on,62,0,0
1,note_on,67,0,0
1,note_on,66,52,0
1,note_on,76,63,0
1,note_on,76,0,480
1,note_on,74,60,0
1,note_on,74,0,240
1,note_on,66,0,0
1,note_on,74,62,0
1,note_on,67,53,0
1,note_on,67,0,720
1,note_on,74,0,0
1,note_on,70,52,0
1,note_on,79,66,0
1,note_on,79,0,240
1,note_on,76,55,0
1,note_on,76,0,240
1,note_on,79,57,0
1,note_on,79,0,240
1,note_on,70,0,0
1,note_on,71,58,0
1,note_on,78,62,0
1,note_on,78,0,480
1,note_on,78,56,0
1,note_on,78,0,240
1,note_on,71,0,0
1,note_on,83,62,0
1,note_on,73,53,0
1,note_on,83,0,240
1,note_on,79,60,0
1,note_on,79,0,240
1,note_on,83,57,0
1,note_on,83,0,240
1,note_on,73,0,0
1,note_on,81,61,0
1,note_on,74,51,0
1,note_on,81,0,480
1,note_on,81,55,0
1,note_on,81,0,240
1,note_on,74,0,0
1,note_on,74,49,0
1,note_on,86,55,0
1,note_on,86,0,240
1,note_on,81,53,0
1,note_on,81,0,240
1,note_on,86,53,0
1,note_on,86,0,240
1,note_on,74,0,0
1,note_on,86,57,0
1,note_on,81,50,0
1,note_on,81,0,720
1,note_on,86,0,0
1,note_on,81,39,240
1,note_on,81,0,240
1,note_on,86,39,0
1,note_on,86,0,240
1,note_on,93,44,0
1,note_on,93,0,240
1,note_on,86,42,0
1,note_on,93,42,240
1,note_on,98,45,240
1,note_on,98,0,480
1,note_on,93,0,0
1,note_on,86,0,0
1,note_on,74,57,240
1,note_on,86,57,0
1,note_on,86,0,240
1,note_on,82,55,0
1,note_on,82,0,240
1,note_on,79,52,0
1,note_on,79,0,240
1,note_on,77,53,0
1,note_on,77,0,240
1,note_on,81,49,0
1,note_on,81,0,240
