Track,Message Type,Note,Velocity,Time
1,note_on,73,68,0
1,note_on,73,0,240
1,note_on,71,62,0
1,note_on,71,0,240
1,note_on,76,63,0
1,note_on,68,44,480
1,note_on,71,44,0
1,note_on,71,0,480
1,note_on,68,0,0
1,note_on,76,0,0
1,note_on,80,67,0
1,note_on,80,0,240
1,note_on,83,63,0
1,note_on,83,0,240
1,note_on,85,69,0
1,note_on,85,0,240
1,note_on,83,62,0
1,note_on,83,0,240
1,note_on,80,64,0
1,note_on,71,44,480
1,note_on,68,44,0
1,note_on,68,0,480
1,note_on,71,0,0
1,note_on,80,0,0
1,note_on,76,63,0
1,note_on,76,0,240
1,note_on,73,60,0
1,note_on,73,0,240
1,note_on,80,63,0
1,note_on,80,0,240
1,note_on,78,59,0
1,note_on,78,0,240
1,note_on,73,62,0
1,note_on,66,44,480
1,note_on,69,44,0
1,note_on,69,0,480
1,note_on,66,0,0
1,note_on,73,0,0
1,note_on,73,61,0
1,note_on,73,0,240
1,note_on,71,57,0
1,note_on,71,0,240
1,note_on,78,62,0
1,note_on,78,0,240
1,note_on,76,57,0
1,note_on,76,0,240
1,note_on,71,58,0
1,note_on,68,44,480
1,note_on,64,44,0
1,note_on,64,0,480
1,note_on,68,0,0
1,note_on,71,0,0
1,note_on,70,61,0
1,note_on,70,0,240
1,note_on,71,59,0
1,note_on,71,0,240
1,note_on,73,68,0
1,note_on,73,0,240
1,note_on,71,62,0
1,note_on,71,0,240
1,note_on,76,63,0
1,note_on,68,44,480
1,note_on,71,44,0
1,note_on,71,0,480
1,note_on,68,0,0
1,note_on,76,0,0
1,note_on,80,67,0
1,note_on,80,0,240
1,note_on,83,63,0
1,note_on,83,0,240
1,note_on,85,69,0
1,note_on,85,0,240
1,note_on,83,62,0
1,note_on,83,0,240
1,note_on,80,64,0
1,note_on,68,44,480
1,note_on,71,44,0
1,note_on,71,0,480
1,note_on,68,0,0
1,note_on,80,0,0
1,note_on,76,63,0
1,note_on,76,0,240
1,note_on,73,60,0
1,note_on,73,0,240
1,note_on,71,63,0
1,note_on,71,0,240
1,note_on,75,59,0
1,note_on,75,0,240
1,note_on,83,62,0
1,note_on,75,44,480
1,note_on,71,44,0
1,note_on,71,0,480
1,note_on,75,0,0
1,note_on,83,0,0
1,note_on,82,61,0
1,note_on,82,0,240
1,note_on,80,57,0
1,note_on,80,0,240
1,note_on,76,57,0
1,note_on,76,0,480
1,note_on,70,44,0
1,note_on,67,44,0
1,note_on,75,57,0
1,note_on,75,0,240
1,note_on,73,53,0
1,note_on,73,0,240
1,note_on,67,0,0
1,note_on,70,0,0
1,note_on,73,57,0
1,note_on,63,40,0
1,note_on,68,40,0
1,note_on,73,0,240
1,note_on,71,52,0
1,note_on,71,0,240
1,note_on,68,0,0
1,note_on,63,0,0
1,note_on,59,37,0
1,note_on,70,52,0
1,note_on,63,38,0
1,note_on,70,0,240
1,note_on,68,52,0
1,note_on,68,0,240
1,note_on,63,0,0
1,note_on,59,0,0
1,note_on,69,64,0
1,note_on,69,0,240
1,note_on,65,60,0
1,note_on,65,0,240
1,note_on,66,64,0
1,note_on,61,39,600
1,note_on,61,0,120
1,note_on,66,0,0
1,note_on,66,39,0
1,note_on,66,0,120
1,note_on,69,42,0
1,note_on,69,0,120
1,note_on,78,67,0
1,note_on,78,0,240
1,note_on,76,63,0
1,note_on,76,0,240
1,note_on,76,67,0
1,note_on,76,0,240
1,note_on,74,63,0
1,note_on,74,0,240
1,note_on,75,66,0
1,note_on,63,39,600
1,note_on,63,0,120
1,note_on,66,39,0
1,note_on,66,0,120
1,note_on,69,42,0
1,note_on,69,0,120
1,note_on,75,0,0
1,note_on,73,67,0
1,note_on,73,0,240
1,note_on,71,67,0
1,note_on,71,0,240
1,note_on,69,64,0
1,note_on,69,0,240
1,note_on,65,60,0
1,note_on,65,0,240
1,note_on,66,64,0
1,note_on,61,46,600
1,note_on,61,0,120
1,note_on,66,0,0
1,note_on,66,50,0
1,note_on,66,0,120
1,note_on,69,55,0
1,note_on,69,0,120
1,note_on,81,68,0
1,note_on,81,0,160
1,note_on,80,64,0
1,note_on,80,0,160
1,note_on,78,63,0
1,note_on,78,0,160
1,note_on,76,68,0
1,note_on,76,0,240
1,note_on,63,35,0
1,note_on,69,35,0
