Track,Message Type,Note,Velocity,Time
1,note_on,65,44,0
1,note_on,69,49,0
1,note_on,77,52,480
1,note_on,69,0,480
1,note_on,65,0,0
1,note_on,69,49,0
1,note_on,67,44,0
1,note_on,77,0,480
1,note_on,76,53,0
1,note_on,67,0,480
1,note_on,69,0,0
1,note_on,65,36,0
1,note_on,69,42,0
1,note_on,76,0,240
1,note_on,74,52,0
1,note_on,74,0,240
1,note_on,69,0,0
1,note_on,65,0,0
1,note_on,68,54,0
1,note_on,68,0,240
1,note_on,69,50,0
1,note_on,69,0,240
1,note_on,62,42,0
1,note_on,69,42,0
1,note_on,74,52,0
1,note_on,74,0,720
1,note_on,72,47,0
1,note_on,72,0,240
1,note_on,69,0,0
1,note_on,67,47,0
1,note_on,70,52,0
1,note_on,70,0,480
1,note_on,67,0,0
1,note_on,62,0,0
1,note_on,70,59,0
1,note_on,62,49,480
1,note_on,60,44,0
1,note_on,70,0,480
1,note_on,66,57,0
1,note_on,60,0,480
1,note_on,62,0,0
1,note_on,58,36,0
1,note_on,62,36,0
1,note_on,66,0,240
1,note_on,67,57,0
1,note_on,67,0,240
1,note_on,62,0,0
1,note_on,58,0,0
1,note_on,67,36,0
1,note_on,64,34,0
1,note_on,76,62,0
1,note_on,76,0,240
1,note_on,74,58,0
1,note_on,74,0,240
1,note_on,64,0,0
1,note_on,67,0,0
1,note_on,64,36,0
1,note_on,67,36,0
1,note_on,74,59,0
1,note_on,74,0,480
1,note_on,73,56,0
1,note_on,73,0,480
1,note_on,67,0,0
1,note_on,64,0,0
1,note_on,69,58,160
1,note_on,69,0,160
1,note_on,71,55,0
1,note_on,71,0,160
1,note_on,73,57,0
1,note_on,73,0,160
1,note_on,74,61,0
1,note_on,74,0,160
1,note_on,76,64,0
1,note_on,76,0,160
1,note_on,81,68,0
1,note_on,81,0,1120
1,note_on,69,61,0
1,note_on,69,0,160
1,note_on,71,57,0
1,note_on,71,0,160
1,note_on,73,61,0
1,note_on,73,0,160
1,note_on,74,65,0
1,note_on,74,0,160
1,note_on,76,68,0
1,note_on,76,0,160
1,note_on,81,72,0
1,note_on,81,0,720
1,note_on,74,67,0
1,note_on,74,0,240
1,note_on,79,69,0
1,note_on,79,0,160
1,note_on,77,65,0
1,note_on,77,0,160
1,note_on,76,64,0
1,note_on,76,0,100
1,note_on,74,62,0
1,note_on,74,0,30
1,note_on,76,62,0
1,note_on,76,0,30
1,note_on,74,69,0
1,note_on,74,0,160
1,note_on,73,64,0
1,note_on,73,0,160
1,note_on,74,64,0
1,note_on,74,0,160
1,note_on,77,69,0
1,note_on,77,0,640
1,note_on,76,63,0
1,note_on,76,0,160
1,note_on,74,57,0
1,note_on,74,0,320
1,note_on,73,68,0
1,note_on,73,0,160
1,note_on,72,58,0
1,note_on,72,0,320
1,note_on,71,66,0
1,note_on,71,0,160
1,note_on,70,57,0
1,note_on,70,0,320
1,note_on,69,63,0
1,note_on,69,0,160
1,note_on,65,55,0
1,note_on,65,0,420
1,note_on,64,50,0
1,note_on,64,0,30
1,note_on,65,50,0
1,note_on,65,0,30
1,note_on,64,56,0
1,note_on,64,0,160
1,note_on,62,54,0
1,note_on,62,0,240
1,note_on,69,49,480
1,note_on,69,0,480
1,note_on,71,53,0
1,note_on,71,0,480
1,note_on,73,57,0
1,note_on,73,0,480
1,note_on,74,49,0
1,note_on,74,0,480
1,note_on,73,54,0
1,note_on,73,0,480
1,note_on,72,53,0
1,note_on,72,0,240
1,note_on,70,52,0
1,note_on,70,0,240
1,note_on,69,51,0
1,note_on,69,0,240
1,note_on,67,57,0
1,note_on,67,0,240
1,note_on,62,53,0
1,note_on,62,0,480
1,note_on,74,67,0
1,note_on,74,0,480
1,note_on,70,63,0
1,note_on,70,0,480
1,note_on,69,57,0
1,note_on,69,0,480
1,note_on,67,57,0
1,note_on,67,0,480
1,note_on,68,56,0
1,note_on,68,0,480
1,note_on,69,55,0
1,note_on,69,0,480
1,note_on,64,53,0
1,note_on,64,0,240
1,note_on,72,69,160
1,note_on,72,0,160
1,note_on,74,70,0
1,note_on,74,0,160
1,note_on,76,73,0
1,note_on,76,0,160
1,note_on,77,70,0
1,note_on,77,0,160
1,note_on,79,67,0
1,note_on,79,0,160
1,note_on,72,74,0
1,note_on,72,0,960
1,note_on,69,71,160
1,note_on,69,0,160
1,note_on,71,71,0
1,note_on,71,0,160
1,note_on,73,73,0
1,note_on,73,0,160
1,note_on,74,70,0
1,note_on,74,0,160
1,note_on,76,67,0
1,note_on,76,0,160
1,note_on,69,74,0
1,note_on,69,0,960
1,note_on,64,71,160
1,note_on,64,0,100
1,note_on,65,70,60
1,note_on,65,0,100
1,note_on,67,71,60
1,note_on,67,0,100
1,note_on,69,70,60
1,note_on,69,0,100
1,note_on,70,71,60
1,note_on,70,0,320
1,note_on,70,71,0
1,note_on,70,0,160
1,note_on,69,67,0
1,note_on,69,0,320
1,note_on,68,69,0
1,note_on,68,0,160
1,note_on,67,66,0
1,note_on,67,0,320
1,note_on,66,68,0
1,note_on,66,0,160
1,note_on,65,62,0
1,note_on,65,0,320
1,note_on,63,66,0
1,note_on,63,0,160
1,note_on,64,61,0
1,note_on,53,38,160
1,note_on,57,38,0
1,note_on,64,0,320
1,note_on,61,55,0
1,note_on,61,0,160
1,note_on,61,55,0
1,note_on,61,0,320
1,note_on,62,50,0
1,note_on,62,0,160
1,note_on,57,0,0
1,note_on,53,0,0
1,note_on,67,58,160
1,note_on,67,0,160
1,note_on,69,58,0
1,note_on,69,0,160
1,note_on,70,57,0
1,note_on,70,0,160
1,note_on,71,60,0
1,note_on,71,0,160
1,note_on,72,63,0
1,note_on,72,0,160
1,note_on,77,67,0
1,note_on,77,0,320
1,note_on,76,63,0
1,note_on,76,0,160
1,note_on,76,65,0
1,note_on,76,0,320
1,note_on,74,63,0
1,note_on,74,0,160
1,note_on,74,64,0
1,note_on,64,54,160
1,note_on,64,0,160
1,note_on,65,54,0
1,note_on,65,0,160
1,note_on,74,0,0
1,note_on,66,56,0
1,note_on,72,67,0
1,note_on,66,0,160
1,note_on,67,56,0
1,note_on,67,0,160
1,note_on,68,56,0
1,note_on,68,0,160
1,note_on,70,67,0
1,note_on,72,0,160
1,note_on,72,56,0
1,note_on,72,0,160
1,note_on,71,56,0
1,note_on,71,0,160
1,note_on,70,0,0
1,note_on,74,61,0
