Track,Message Type,Note,Velocity,Time
1,note_on,62,67,0
1,note_on,74,75,0
1,note_on,74,0,840
1,note_on,62,0,0
1,note_on,74,73,0
1,note_on,62,65,0
1,note_on,62,0,120
1,note_on,74,0,0
1,note_on,62,67,0
1,note_on,74,75,0
1,note_on,74,0,840
1,note_on,62,0,0
1,note_on,74,71,0
1,note_on,62,63,0
1,note_on,62,0,120
1,note_on,74,0,0
1,note_on,62,70,0
1,note_on,74,78,0
1,note_on,74,0,840
1,note_on,62,0,0
1,note_on,62,66,0
1,note_on,74,74,0
1,note_on,74,0,120
1,note_on,62,0,0
1,note_on,74,78,0
1,note_on,62,70,0
1,note_on,62,0,840
1,note_on,74,0,0
1,note_on,62,67,0
1,note_on,74,75,0
1,note_on,74,0,120
1,note_on,62,0,0
1,note_on,62,70,0
1,note_on,74,78,0
1,note_on,74,0,480
1,note_on,62,0,0
1,note_on,74,78,0
1,note_on,62,70,0
1,note_on,62,0,960
1,note_on,74,0,0
1,note_on,62,70,0
1,note_on,74,78,0
1,note_on,74,0,960
1,note_on,62,0,0
1,note_on,62,70,0
1,note_on,74,78,0
1,note_on,74,0,720
1,note_on,62,0,0
1,note_on,74,75,0
1,note_on,62,67,0
1,note_on,62,0,480
1,note_on,74,0,0
1,note_on,74,76,0
1,note_on,62,68,0
1,note_on,62,0,120
1,note_on,74,0,0
1,note_on,79,83,600
1,note_on,67,83,0
1,note_on,67,0,960
1,note_on,79,0,0
1,note_on,67,70,0
1,note_on,79,78,0
1,note_on,79,0,720
1,note_on,67,0,0
1,note_on,67,70,0
1,note_on,79,78,0
1,note_on,79,0,480
1,note_on,67,0,0
1,note_on,79,76,0
1,note_on,67,68,0
1,note_on,67,0,120
1,note_on,79,0,0
1,note_on,86,97,120
1,note_on,74,87,0
1,note_on,78,87,0
1,note_on,78,0,120
1,note_on,74,0,0
1,note_on,86,0,0
1,note_on,86,88,120
1,note_on,74,79,0
1,note_on,79,79,0
1,note_on,79,0,120
1,note_on,74,0,0
1,note_on,86,0,0
1,note_on,86,94,120
1,note_on,74,84,0
1,note_on,78,84,0
1,note_on,78,0,240
1,note_on,74,0,0
1,note_on,86,0,0
1,note_on,59,72,240
1,note_on,67,80,0
1,note_on,67,0,640
1,note_on,59,0,0
1,note_on,59,67,0
1,note_on,67,75,0
1,note_on,67,0,120
1,note_on,59,0,0
1,note_on,67,75,40
1,note_on,59,67,0
1,note_on,59,0,120
1,note_on,67,0,0
1,note_on,67,81,40
1,note_on,59,72,0
1,note_on,59,0,640
1,note_on,67,0,0
1,note_on,67,75,0
1,note_on,59,67,0
1,note_on,59,0,120
1,note_on,67,0,0
1,note_on,59,66,40
1,note_on,67,74,0
1,note_on,67,0,120
1,note_on,59,0,0
1,note_on,59,72,40
1,note_on,67,80,0
1,note_on,67,0,720
1,note_on,59,0,0
1,note_on,67,66,0
1,note_on,71,74,0
1,note_on,71,0,120
1,note_on,67,0,0
1,note_on,69,72,120
1,note_on,72,80,0
1,note_on,72,0,120
1,note_on,69,0,0
1,note_on,67,66,120
1,note_on,71,74,0
1,note_on,71,0,120
1,note_on,67,0,0
1,note_on,69,72,120
1,note_on,72,80,0
1,note_on,72,0,120
1,note_on,69,0,0
1,note_on,62,71,120
1,note_on,69,79,0
1,note_on,69,0,120
1,note_on,62,0,0
1,note_on,74,80,120
1,note_on,71,72,0
1,note_on,71,0,640
1,note_on,74,0,0
1,note_on,74,75,0
1,note_on,71,67,0
1,note_on,71,0,120
1,note_on,74,0,0
1,note_on,71,67,40
1,note_on,74,75,0
1,note_on,74,0,120
1,note_on,71,0,0
1,note_on,71,72,40
1,note_on,74,81,0
1,note_on,74,0,640
1,note_on,71,0,0
1,note_on,74,75,0
1,note_on,71,67,0
1,note_on,71,0,120
1,note_on,74,0,0
1,note_on,71,66,40
1,note_on,74,74,0
1,note_on,74,0,120
1,note_on,71,0,0
1,note_on,72,72,40
1,note_on,76,80,0
1,note_on,76,0,120
1,note_on,72,0,0
1,note_on,71,69,120
1,note_on,74,77,0
1,note_on,74,0,120
1,note_on,71,0,0
1,note_on,69,69,120
1,note_on,72,77,0
1,note_on,72,0,120
1,note_on,69,0,0
1,note_on,68,75,120
1,note_on,64,67,0
1,note_on,71,75,0
1,note_on,71,0,120
1,note_on,64,0,0
1,note_on,68,0,0
1,note_on,69,82,120
1,note_on,64,73,0
1,note_on,64,0,120
1,note_on,69,0,0
1,note_on,64,69,120
1,note_on,68,69,0
1,note_on,71,77,0
1,note_on,71,0,120
1,note_on,68,0,0
1,note_on,64,0,0
1,note_on,64,67,120
1,note_on,69,73,0
1,note_on,72,82,0
1,note_on,72,0,120
1,note_on,69,0,0
1,note_on,64,0,0
1,note_on,74,64,360
1,note_on,78,72,0
1,note_on,78,0,120
1,note_on,74,0,0
1,note_on,76,66,120
1,note_on,73,59,0
1,note_on,73,0,120
1,note_on,76,0,0
1,note_on,74,71,120
1,note_on,71,63,0
1,note_on,71,0,120
1,note_on,74,0,0
1,note_on,70,67,120
1,note_on,73,67,0
1,note_on,66,60,0
1,note_on,66,0,120
1,note_on,73,0,0
1,note_on,70,0,0
1,note_on,66,62,120
1,note_on,71,69,0
1,note_on,71,0,120
1,note_on,66,0,0
1,note_on,66,57,120
1,note_on,70,64,0
1,note_on,73,64,0
1,note_on,73,0,120
1,note_on,70,0,0
1,note_on,66,0,0
1,note_on,66,60,120
1,note_on,71,67,0
1,note_on,74,67,0
1,note_on,74,0,120
1,note_on,71,0,0
1,note_on,66,0,0
1,note_on,76,64,360
1,note_on,80,72,0
1,note_on,80,0,120
1,note_on,76,0,0
1,note_on,78,66,120
1,note_on,75,59,0
1,note_on,75,0,120
1,note_on,78,0,0
1,note_on,73,63,120
1,note_on,76,71,0
1,note_on,76,0,120
1,note_on,73,0,0
1,note_on,68,60,120
1,note_on,72,67,0
1,note_on,75,67,0
1,note_on,75,0,120
1,note_on,72,0,0
1,note_on,68,0,0
1,note_on,68,62,120
1,note_on,73,69,0
1,note_on,73,0,120
1,note_on,68,0,0
1,note_on,72,64,120
1,note_on,68,57,0
1,note_on,75,64,0
1,note_on,75,0,120
1,note_on,68,0,0
1,note_on,72,0,0
1,note_on,73,67,120
1,note_on,76,67,0
1,note_on,68,60,0
1,note_on,68,0,120
1,note_on,76,0,0
1,note_on,73,0,0
1,note_on,78,54,360
1,note_on,81,61,0
1,note_on,81,0,240
1,note_on,78,0,0
1,note_on,76,49,0
