Track,Message Type,Note,Velocity,Time
1,note_on,48,41,240
1,note_on,48,0,180
1,note_on,48,41,0
1,note_on,48,0,60
1,note_on,57,47,0
1,note_on,57,0,240
1,note_on,57,40,240
1,note_on,57,0,180
1,note_on,57,40,0
1,note_on,57,0,60
1,note_on,63,46,0
1,note_on,63,0,240
1,note_on,56,36,240
1,note_on,64,36,0
1,note_on,64,0,228
1,note_on,56,0,0
1,note_on,59,30,12
1,note_on,56,25,0
1,note_on,64,30,0
1,note_on,64,0,228
1,note_on,56,0,0
1,note_on,59,0,0
1,note_on,56,24,12
1,note_on,59,28,0
1,note_on,64,28,0
1,note_on,64,0,480
1,note_on,59,0,0
1,note_on,56,0,0
1,note_on,59,41,240
1,note_on,59,0,180
1,note_on,59,41,0
1,note_on,59,0,60
1,note_on,67,47,0
1,note_on,67,0,240
1,note_on,61,40,240
1,note_on,61,0,180
1,note_on,61,40,0
1,note_on,61,0,60
1,note_on,70,46,0
1,note_on,70,0,240
1,note_on,66,32,240
1,note_on,59,36,0
1,note_on,71,36,0
1,note_on,71,0,228
1,note_on,59,0,0
1,note_on,66,0,0
1,note_on,66,32,12
1,note_on,59,27,0
1,note_on,71,32,0
1,note_on,71,0,228
1,note_on,59,0,0
1,note_on,66,0,0
1,note_on,59,24,12
1,note_on,66,28,0
1,note_on,71,28,0
1,note_on,71,0,480
1,note_on,66,0,0
1,note_on,59,0,0
1,note_on,65,46,240
1,note_on,65,0,180
1,note_on,65,54,0
1,note_on,65,0,60
1,note_on,71,60,0
1,note_on,71,0,240
1,note_on,71,60,240
1,note_on,71,0,180
1,note_on,71,60,0
1,note_on,71,0,60
1,note_on,77,70,0
1,note_on,77,0,480
1,note_on,76,65,0
1,note_on,76,0,240
1,note_on,79,68,0
1,note_on,79,0,240
1,note_on,64,32,0
1,note_on,70,39,0
1,note_on,70,0,480
1,note_on,64,0,0
1,note_on,65,35,480
1,note_on,69,42,0
1,note_on,69,0,228
1,note_on,65,0,0
1,note_on,69,40,12
1,note_on,77,48,0
1,note_on,77,0,228
1,note_on,69,0,0
1,note_on,65,30,12
1,note_on,69,36,0
1,note_on,69,0,480
1,note_on,65,0,0
1,note_on,58,36,480
1,note_on,62,36,0
1,note_on,67,43,0
1,note_on,67,0,240
1,note_on,62,0,0
1,note_on,58,0,0
1,note_on,55,34,480
1,note_on,58,34,0
1,note_on,64,40,0
1,note_on,64,0,240
1,note_on,58,0,0
1,note_on,55,0,0
1,note_on,57,27,480
1,note_on,60,27,0
1,note_on,65,33,0
1,note_on,65,0,228
1,note_on,60,0,0
1,note_on,57,0,0
1,note_on,57,27,12
1,note_on,60,27,0
1,note_on,69,33,0
1,note_on,69,0,228
1,note_on,60,0,0
1,note_on,57,0,0
1,note_on,57,27,12
1,note_on,60,27,0
1,note_on,65,33,0
1,note_on,65,0,480
1,note_on,60,0,0
1,note_on,57,0,0
1,note_on,48,53,0
1,note_on,48,0,180
1,note_on,48,53,0
1,note_on,48,0,30
1,note_on,48,53,0
1,note_on,48,0,28
1,note_on,57,61,2
1,note_on,57,0,360
1,note_on,55,58,0
1,note_on,55,0,110
1,note_on,57,61,10
1,note_on,57,0,110
1,note_on,58,64,10
1,note_on,58,0,110
1,note_on,59,68,10
1,note_on,59,0,120
1,note_on,60,73,0
1,note_on,60,0,240
1,note_on,62,71,0
1,note_on,62,0,240
1,note_on,58,48,0
1,note_on,58,0,60
1,note_on,57,43,0
1,note_on,57,0,60
1,note_on,55,45,0
1,note_on,55,0,120
1,note_on,66,48,0
1,note_on,66,0,110
1,note_on,67,48,10
1,note_on,67,0,110
1,note_on,69,49,10
1,note_on,69,0,110
1,note_on,70,53,10
1,note_on,70,0,110
1,note_on,78,54,10
1,note_on,78,0,110
1,note_on,79,55,10
1,note_on,79,0,110
1,note_on,81,56,10
1,note_on,81,0,110
1,note_on,82,57,10
1,note_on,82,0,110
1,note_on,48,57,130
1,note_on,48,0,180
1,note_on,48,57,0
1,note_on,48,0,30
1,note_on,48,53,0
1,note_on,48,0,30
1,note_on,58,69,0
1,note_on,58,0,360
1,note_on,57,63,0
1,note_on,57,0,110
1,note_on,58,66,10
1,note_on,58,0,110
1,note_on,60,68,10
1,note_on,60,0,110
1,note_on,61,71,10
1,note_on,61,0,120
1,note_on,62,69,0
1,note_on,62,0,240
1,note_on,60,74,0
1,note_on,60,0,240
1,note_on,62,55,0
1,note_on,62,0,60
1,note_on,58,50,0
1,note_on,58,0,60
1,note_on,53,44,0
1,note_on,57,44,0
1,note_on,57,0,120
1,note_on,53,0,0
1,note_on,68,48,0
1,note_on,68,0,110
1,note_on,69,48,10
1,note_on,69,0,110
1,note_on,71,49,10
1,note_on,71,0,110
1,note_on,72,49,10
1,note_on,72,0,110
1,note_on,80,54,10
1,note_on,80,0,110
1,note_on,81,55,10
1,note_on,81,0,110
1,note_on,83,56,10
1,note_on,83,0,110
1,note_on,84,57,10
1,note_on,84,0,110
1,note_on,72,61,130
1,note_on,72,0,180
1,note_on,72,61,0
1,note_on,72,0,60
1,note_on,65,68,0
1,note_on,77,68,240
1,note_on,77,0,180
1,note_on,77,59,0
1,note_on,77,0,60
1,note_on,65,0,0
1,note_on,67,58,0
1,note_on,76,69,0
1,note_on,76,0,240
1,note_on,79,66,0
1,note_on,79,0,240
1,note_on,67,0,0
1,note_on,64,53,0
1,note_on,70,63,0
1,note_on,70,0,172
1,note_on,70,59,8
1,note_on,70,0,25
1,note_on,70,56,5
1,note_on,70,0,25
1,note_on,64,0,5
1,note_on,65,43,0
1,note_on,69,52,0
1,note_on,69,0,60
1,note_on,68,51,0
1,note_on,68,0,60
1,note_on,69,51,0
1,note_on,69,0,60
1,note_on,72,47,0
1,note_on,72,0,60
1,note_on,65,0,0
1,note_on,65,52,0
1,note_on,77,62,240
1,note_on,77,0,180
1,note_on,77,54,0
1,note_on,77,0,60
1,note_on,65,0,0
1,note_on,67,58,0
1,note_on,76,69,0
1,note_on,76,0,240
1,note_on,79,60,0
1,note_on,79,0,240
1,note_on,67,0,0
1,note_on,64,49,0
1,note_on,70,58,0
1,note_on,70,0,180
1,note_on,70,49,0
1,note_on,70,0,60
1,note_on,64,0,0
1,note_on,65,49,0
1,note_on,69,58,0
1,note_on,69,0,240
1,note_on,65,0,0
1,note_on,58,40,240
1,note_on,62,40,0
1,note_on,67,48,0
1,note_on,67,0,240
1,note_on,62,0,0
1,note_on,58,0,0
1,note_on,55,38,480
1,note_on,58,38,0
1,note_on,64,45,0
1,note_on,64,0,240
1,note_on,58,0,0
1,note_on,55,0,0
1,note_on,48,41,240
1,note_on,48,0,180
1,note_on,48,41,0
1,note_on,48,0,60
1,note_on,57,47,0
1,note_on,57,0,240
1,note_on,57,40,240
1,note_on,57,0,180
1,note_on,57,40,0
1,note_on,57,0,60
1,note_on,63,50,0
1,note_on,63,0,240
1,note_on,64,47,0
1,note_on,64,0,228
1,note_on,59,36,12
1,note_on,56,36,0
1,note_on,64,36,0
1,note_on,64,0,228
1,note_on,56,0,0
1,note_on,59,0,0
1,note_on,59,30,12
1,note_on,56,25,0
1,note_on,64,30,0
1,note_on,64,0,228
1,note_on,56,0,0
1,note_on,59,0,0
1,note_on,56,24,12
1,note_on,59,28,0
1,note_on,64,28,0
1,note_on,64,0,228
1,note_on,59,0,0
1,note_on,56,0,0
1,note_on,55,58,12
1,note_on,55,0,228
1,note_on,55,63,12
1,note_on,55,0,228
1,note_on,55,46,12
1,note_on,59,41,240
1,note_on,59,0,180
1,note_on,59,41,0
1,note_on,59,0,60
1,note_on,67,47,0
1,note_on,67,0,240
1,note_on,55,0,0
1,note_on,61,40,240
1,note_on,61,0,180
1,note_on,61,40,0
1,note_on,61,0,60
1,note_on,70,46,0
1,note_on,70,0,240
1,note_on,71,47,0
1,note_on,71,0,228
1,note_on,66,32,12
1,note_on,59,36,0
1,note_on,71,36,0
1,note_on,71,0,228
1,note_on,59,0,0
1,note_on,66,0,0
1,note_on,66,32,12
1,note_on,59,27,0
1,note_on,71,32,0
1,note_on,71,0,228
1,note_on,59,0,0
1,note_on,66,0,0
1,note_on,59,27,12
1,note_on,66,32,0
1,note_on,71,32,0
1,note_on,71,0,228
1,note_on,66,0,0
1,note_on,59,0,0
1,note_on,50,45,12
1,note_on,53,55,0
1,note_on,53,0,228
1,note_on,50,0,0
1,note_on,50,49,12
1,note_on,53,60,0
1,note_on,53,0,228
1,note_on,50,0,0
1,note_on,53,37,12
1,note_on,65,46,240
1,note_on,65,0,180
1,note_on,65,48,0
1,note_on,65,0,60
1,note_on,53,0,0
1,note_on,71,54,0
1,note_on,71,0,480
1,note_on,71,50,0
1,note_on,71,0,180
1,note_on,71,54,0
1,note_on,71,0,60
1,note_on,77,58,0
1,note_on,77,0,240
1,note_on,77,51,0
1,note_on,77,0,180
1,note_on,77,53,0
1,note_on,77,0,60
1,note_on,80,66,0
1,note_on,80,0,480
1,note_on,77,61,0
1,note_on,77,0,180
1,note_on,77,61,0
1,note_on,77,0,60
1,note_on,86,75,0
1,note_on,86,0,240
1,note_on,77,70,0
1,note_on,77,0,180
1,note_on,77,70,0
1,note_on,77,0,60
1,note_on,89,82,0
1,note_on,89,0,480
1,note_on,77,73,0
1,note_on,77,0,180
1,note_on,77,66,0
1,note_on,77,0,60
1,note_on,89,88,0
1,note_on,89,0,240
1,note_on,77,72,0
1,note_on,77,0,180
1,note_on,77,74,0
1,note_on,77,0,60
1,note_on,89,90,0
1,note_on,89,0,420
1,note_on,77,79,0
1,note_on,77,0,60
1,note_on,89,93,0
1,note_on,89,0,60
1,note_on,74,74,120
1,note_on,74,0,60
1,note_on,86,89,0
1,note_on,86,0,60
1,note_on,71,64,120
1,note_on,71,0,60
1,note_on,83,75,0
1,note_on,83,0,60
1,note_on,65,63,120
1,note_on,65,0,60
1,note_on,77,72,0
1,note_on,77,0,60
1,note_on,62,52,120
1,note_on,62,0,60
1,note_on,74,60,0
1,note_on,74,0,60
1,note_on,59,47,120
1,note_on,59,0,60
1,note_on,71,55,0
1,note_on,71,0,60
1,note_on,53,42,120
1,note_on,53,0,60
1,note_on,65,48,0
1,note_on,65,0,60
1,note_on,50,38,120
1,note_on,50,0,60
1,note_on,62,42,0
1,note_on,62,0,60
1,note_on,47,32,120
1,note_on,47,0,60
1,note_on,59,40,0
1,note_on,59,0,228
1,note_on,47,25,12
1,note_on,50,25,0
1,note_on,53,30,0
1,note_on,53,0,228
1,note_on,50,0,0
1,note_on,47,0,0
1,note_on,47,23,12
1,note_on,50,23,0
1,note_on,53,28,0
1,note_on,53,0,228
1,note_on,50,0,0
1,note_on,47,0,0
1,note_on,47,23,12
1,note_on,50,23,0
1,note_on,53,28,0
1,note_on,53,0,480
1,note_on,50,0,0
1,note_on,47,0,0
1,note_on,77,40,0
1,note_on,77,0,240
1,note_on,76,40,0
1,note_on,76,0,240
1,note_on,76,40,960
1,note_on,76,0,240
1,note_on,74,40,0
1,note_on,74,0,240
1,note_on,74,40,240
1,note_on,74,0,240
1,note_on,79,40,0
1,note_on,79,0,240
1,note_on,79,71,240
1,note_on,79,0,240
2,note_on,29,29,0
2,note_on,41,35,0
2,note_on,41,0,720
2,note_on,29,0,0
2,note_on,29,29,0
2,note_on,41,35,0
2,note_on,41,0,720
2,note_on,29,0,0
2,note_on,40,26,240
2,note_on,52,31,0
2,note_on,52,0,228
2,note_on,40,0,0
2,note_on,40,21,12
2,note_on,52,25,0
2,note_on,52,0,228
2,note_on,40,0,0
2,note_on,40,20,12
2,note_on,52,24,0
2,note_on,52,0,480
2,note_on,40,0,0
2,note_on,40,31,240
2,note_on,52,38,0
2,note_on,52,0,720
2,note_on,40,0,0
2,note_on,40,31,0
2,note_on,52,38,0
2,note_on,52,0,720
2,note_on,40,0,0
2,note_on,47,26,240
2,note_on,39,26,0
2,note_on,51,31,0
2,note_on,51,0,228
2,note_on,39,0,0
2,note_on,47,0,0
2,note_on,47,23,12
2,note_on,39,23,0
2,note_on,51,27,0
2,note_on,51,0,228
2,note_on,39,0,0
2,note_on,47,0,0
2,note_on,47,20,12
2,note_on,39,20,0
2,note_on,51,24,0
2,note_on,51,0,480
2,note_on,39,0,0
2,note_on,47,0,0
2,note_on,38,38,240
2,note_on,50,45,0
2,note_on,50,0,720
2,note_on,38,0,0
2,note_on,37,42,0
2,note_on,49,50,0
2,note_on,49,0,720
2,note_on,37,0,0
2,note_on,36,44,0
2,note_on,48,52,0
2,note_on,48,0,228
2,note_on,36,0,0
2,note_on,36,44,12
2,note_on,48,52,0
2,note_on,48,0,228
2,note_on,36,0,0
2,note_on,36,44,12
2,note_on,48,52,0
2,note_on,48,0,228
2,note_on,36,0,0
2,note_on,36,31,12
2,note_on,48,36,0
2,note_on,48,0,480
2,note_on,36,0,0
2,note_on,38,28,480
2,note_on,50,34,0
2,note_on,50,0,228
